workerid,predicate,utterance,response,context,sentence_type
0,long,long,0.81,regular,coll
0,long,long,0.1,regular,dist
1,long,long,0.56,regular,coll
1,long,long,0.23,regular,dist
2,square,square,0.02,random,coll
2,square,square,1,random,dist
3,square,square,0.98,regular,dist
3,square,square,0.3,regular,coll
4,tall,tall,0.09,regular,dist
4,tall,tall,0.95,regular,coll
5,square,square,0.76,regular,coll
5,square,square,0.4,regular,dist
6,long,long,0.14,random,coll
6,long,long,0.59,random,dist
7,long,long,0.59,regular,coll
7,long,long,0.18,regular,dist
8,long,long,0.62,random,coll
8,long,long,0.82,random,dist
