,obj1,obj2,obj3,obj4,,sum
(,575,575,575,575,),2300
(,575,575,575,818,),2543
(,575,575,575,1061,),2786
(,575,575,818,818,),2786
(,575,575,818,1061,),3029
(,575,818,818,818,),3029
(,575,575,575,1331,),3056
(,575,575,1061,1061,),3272
(,575,818,818,1061,),3272
(,818,818,818,818,),3272
(,575,575,818,1331,),3299
(,575,575,575,1600,),3325
(,575,818,1061,1061,),3515
(,818,818,818,1061,),3515
(,575,575,1061,1331,),3542
(,575,818,818,1331,),3542
(,575,575,818,1600,),3568
(,575,1061,1061,1061,),3758
(,818,818,1061,1061,),3758
(,575,818,1061,1331,),3785
(,818,818,818,1331,),3785
(,575,575,1061,1600,),3811
(,575,818,818,1600,),3811
(,575,575,1331,1331,),3812
(,818,1061,1061,1061,),4001
(,575,1061,1061,1331,),4028
(,818,818,1061,1331,),4028
(,575,818,1061,1600,),4054
(,818,818,818,1600,),4054
(,575,818,1331,1331,),4055
(,575,575,1331,1600,),4081
(,1061,1061,1061,1061,),4244
(,818,1061,1061,1331,),4271
(,575,1061,1061,1600,),4297
(,818,818,1061,1600,),4297
(,575,1061,1331,1331,),4298
(,818,818,1331,1331,),4298
(,575,818,1331,1600,),4324
(,575,575,1600,1600,),4350
(,1061,1061,1061,1331,),4514
(,818,1061,1061,1600,),4540
(,818,1061,1331,1331,),4541
(,575,1061,1331,1600,),4567
(,818,818,1331,1600,),4567
(,575,1331,1331,1331,),4568
(,575,818,1600,1600,),4593
(,1061,1061,1061,1600,),4783
(,1061,1061,1331,1331,),4784
(,818,1061,1331,1600,),4810
(,818,1331,1331,1331,),4811
(,575,1061,1600,1600,),4836
(,818,818,1600,1600,),4836
(,575,1331,1331,1600,),4837
(,1061,1061,1331,1600,),5053
(,1061,1331,1331,1331,),5054
(,818,1061,1600,1600,),5079
(,818,1331,1331,1600,),5080
(,575,1331,1600,1600,),5106
(,1061,1061,1600,1600,),5322
(,1061,1331,1331,1600,),5323
(,1331,1331,1331,1331,),5324
(,818,1331,1600,1600,),5349
(,575,1600,1600,1600,),5375
(,1061,1331,1600,1600,),5592
(,1331,1331,1331,1600,),5593
(,818,1600,1600,1600,),5618
(,1061,1600,1600,1600,),5861
(,1331,1331,1600,1600,),5862
(,1331,1600,1600,1600,),6131
(,1600,1600,1600,1600,),6400
