workerid,predicate,utterance,response,context,sentence_type
0,square,square,0,random,coll
0,square,square,1,random,dist
1,long,long,0.89,random,coll
1,long,long,0.11,random,dist
2,square,square,0.53,random,coll
2,square,square,0.66,random,dist
3,square,square,0.98,random,dist
3,square,square,0.01,random,coll
4,long,long,0.68,regular,coll
4,long,long,0.16,regular,dist
5,square,square,0.09,random,coll
5,square,square,0.89,random,dist
6,square,square,0.15,regular,coll
6,square,square,0.9,regular,dist
7,square,square,0.82,regular,coll
7,square,square,0.2,regular,dist
8,long,long,0.18,regular,coll
8,long,long,0.81,regular,dist
