workerid,predicate,utterance,response,context,sentence_type
0,tall,tall,0.38,random,dist
0,tall,tall,0.78,random,coll
1,tall,tall,0.53,random,coll
1,tall,tall,0.76,random,dist
2,tall,tall,0.03,regular,dist
2,tall,tall,1,regular,coll
3,tall,tall,0.23,random,dist
3,tall,tall,0.82,random,coll
4,square,square,0,random,coll
4,square,square,1,random,dist
5,long,long,0.11,random,coll
5,long,long,0.88,random,dist
6,tall,tall,0.12,regular,dist
6,tall,tall,0.15,regular,coll
7,tall,tall,0.72,regular,dist
7,tall,tall,0.67,regular,coll
8,square,square,0,regular,dist
8,square,square,0,regular,coll
