Item_ID	Sentence	Determiner	Noun	Predicate	Subject	SubjectLength	SubjectParse
2999:4	these descriptions were vital to writing about these two artists in whose work colour plays so important a part.	these	descriptions	vital	these descriptions	2	(NP (DT These) (NNS descriptions))
3322:66	writing about a small bust on a column, a thin sculpture in a series of four busts of which the others were fuller in form, she comments that" the extremely thin proportions of the head contrast with the solidity of the base.	the	others	fuller	the others	2	(NP (DT the) (NNS others))
4313:214	in glasser's book, and in fraser's, the activities of the poor can be seen as activities which had been performed, and written about, in the past: but these are books which intimate that the lists and specifications of a caring naturalism -- features by which they have indeed been influenced -- were never exhaustive: that the truth-tellers did not tell it, and that the omissions were systematic.	the	omissions	systematic	the omissions	2	(NP (DT the) (NNS omissions))
8372:28	socialists tended to be republicans, though only some republicans were socialist.	some	republicans	socialist	only some republicans	3	(NP (RB only) (DT some) (NNS republicans))
9317:4	the bishops were successful in urging the irish party to accept the church's programme for irish education as a whole.	the	bishops	successful	the bishops	2	(NP (DT The) (NNS bishops))
13867:14	as a water-testing exercise these courses were successful, attracting" students" from all over the country and even one from saudi arabia.	these	courses	successful	these courses	2	(NP (DT these) (NNS courses))
19456:4	the fees were high and the atmosphere rarefied.	the	fees	high	the fees	2	(NP (DT The) (NNS fees))
23699:62	when the tops became straw-coloured the clumps were eased from the ground and the bulbs were dried off until the skins were yellow and brittle.	the	skins	yellow	the skins	2	(NP (DT the) (NNS skins))
26784:11	most of the pilots were unconcerned if they were five feet or more to the side on their first attempts.	the	pilots	unconcerned	the pilots	2	(NP (DT the) (NNS pilots))
30438:13	in their room the lights were honey-pale, and lucy turned away to undress.	the	lights	honey-pale	the lights were honey-pale	4	(NP (DT the) (NNS lights) (S (VP (AUX were) (ADJP (JJ honey-pale)))))
30631:6	and the lights were green.	the	lights	green	the lights	2	(NP (DT the) (NNS lights))
34073:4	the stakes were high.	the	stakes	high	the stakes	2	(NP (DT The) (NNS stakes))
37620:4	the masons were busy with their mallets and chisels inside a makeshift hut on the site and it was easy to talk to them privately.	the	masons	busy	the masons	2	(NP (DT The) (NNS masons))
