,workerid,utterance,response,context,sentence_type,language,comments,dimension,valence,slide_number
72,1,lengthy,0.81,random,coll,English,,length,pos,11
73,1,large,0.18,random,coll,English,,size,pos,12
74,1,large,0.78,random,dist,English,,size,pos,12
75,1,big,0.77,random,dist,English,,size,pos,13
76,1,big,0.23,random,coll,English,,size,pos,13
77,1,high,0.15,random,dist,English,,height,pos,14
78,1,high,0.71,random,coll,English,,height,pos,14
79,1,deep,0.24,random,coll,English,,depth,pos,15
80,1,deep,0.87,random,dist,English,,depth,pos,15
81,1,long,0.21,random,coll,English,,length,pos,16
82,1,long,0.84,random,dist,English,,length,pos,16
83,1,slight,0.06,random,coll,English,,size,neg,17
84,1,slight,0.81,random,dist,English,,size,neg,17
85,1,heavy,0.91,random,coll,English,,weight,pos,18
86,1,heavy,0.51,random,dist,English,,weight,pos,18
87,1,huge,0.77,random,dist,English,,size,pos,19
88,1,huge,0.32,random,coll,English,,size,pos,19
89,1,fat,0.83,random,dist,English,,width,pos,20
90,1,fat,0.33,random,coll,English,,width,pos,20
91,1,little,0.22,random,dist,English,,size,neg,21
92,1,little,0.83,random,coll,English,,size,neg,21
93,1,short,0.23,random,coll,English,,height,neg,22
94,1,short,0.8,random,dist,English,,height,neg,22
95,1,flat,0.78,random,dist,English,,height,neg,23
96,1,flat,0.29,random,coll,English,,height,neg,23
97,1,wide,0.23,random,dist,English,,width,pos,24
98,1,wide,0.74,random,coll,English,,width,pos,24
99,1,thin,0.23,random,coll,English,,width,neg,25
100,1,thin,0.75,random,dist,English,,width,neg,25
101,2,deep,0.98,regular,coll,English,It was interesting to see how many different ways you explained the boxes.,depth,pos,1
102,2,deep,0.02,regular,dist,English,It was interesting to see how many different ways you explained the boxes.,depth,pos,1
103,2,wide,0.13,regular,dist,English,It was interesting to see how many different ways you explained the boxes.,width,pos,2
104,2,wide,0.13,regular,coll,English,It was interesting to see how many different ways you explained the boxes.,width,pos,2
105,2,flat,0.8,regular,dist,English,It was interesting to see how many different ways you explained the boxes.,height,neg,3
106,2,flat,0.02,regular,coll,English,It was interesting to see how many different ways you explained the boxes.,height,neg,3
107,2,mini,0.77,regular,dist,English,It was interesting to see how many different ways you explained the boxes.,size,neg,4
108,2,mini,0.03,regular,coll,English,It was interesting to see how many different ways you explained the boxes.,size,neg,4
109,2,tall,0.11,regular,dist,English,It was interesting to see how many different ways you explained the boxes.,height,pos,5
110,2,tall,0.98,regular,coll,English,It was interesting to see how many different ways you explained the boxes.,height,pos,5
111,2,narrow,0.98,regular,coll,English,It was interesting to see how many different ways you explained the boxes.,width,neg,6
112,2,narrow,0.98,regular,dist,English,It was interesting to see how many different ways you explained the boxes.,width,neg,6
113,2,slight,0.02,regular,coll,English,It was interesting to see how many different ways you explained the boxes.,size,neg,7
114,2,slight,0.98,regular,dist,English,It was interesting to see how many different ways you explained the boxes.,size,neg,7
115,2,high,0.07,regular,dist,English,It was interesting to see how many different ways you explained the boxes.,height,pos,8
116,2,high,0.98,regular,coll,English,It was interesting to see how many different ways you explained the boxes.,height,pos,8
117,2,heavy,0.19,regular,dist,English,It was interesting to see how many different ways you explained the boxes.,weight,pos,9
118,2,heavy,0.98,regular,coll,English,It was interesting to see how many different ways you explained the boxes.,weight,pos,9
119,2,huge,0.03,regular,dist,English,It was interesting to see how many different ways you explained the boxes.,size,pos,10
120,2,huge,0.97,regular,coll,English,It was interesting to see how many different ways you explained the boxes.,size,pos,10
121,2,lengthy,0.02,regular,coll,English,It was interesting to see how many different ways you explained the boxes.,length,pos,11
122,2,lengthy,0.02,regular,dist,English,It was interesting to see how many different ways you explained the boxes.,length,pos,11
123,2,big,0.98,regular,coll,English,It was interesting to see how many different ways you explained the boxes.,size,pos,12
124,2,big,0.02,regular,dist,English,It was interesting to see how many different ways you explained the boxes.,size,pos,12
125,2,thick,0.49,regular,dist,English,It was interesting to see how many different ways you explained the boxes.,width,pos,13
126,2,thick,0.49,regular,coll,English,It was interesting to see how many different ways you explained the boxes.,width,pos,13
127,2,full,0.46,regular,coll,English,It was interesting to see how many different ways you explained the boxes.,capacity,pos,14
128,2,full,0.46,regular,dist,English,It was interesting to see how many different ways you explained the boxes.,capacity,pos,14
129,2,small,0.02,regular,coll,English,It was interesting to see how many different ways you explained the boxes.,size,neg,15
130,2,small,0.98,regular,dist,English,It was interesting to see how many different ways you explained the boxes.,size,neg,15
131,2,long,0.01,regular,dist,English,It was interesting to see how many different ways you explained the boxes.,length,pos,16
132,2,long,0.01,regular,coll,English,It was interesting to see how many different ways you explained the boxes.,length,pos,16
133,2,tiny,0.02,regular,coll,English,It was interesting to see how many different ways you explained the boxes.,size,neg,17
134,2,tiny,0.95,regular,dist,English,It was interesting to see how many different ways you explained the boxes.,size,neg,17
135,2,short,0.98,regular,dist,English,It was interesting to see how many different ways you explained the boxes.,height,neg,18
136,2,short,0,regular,coll,English,It was interesting to see how many different ways you explained the boxes.,height,neg,18
137,2,thin,0.96,regular,coll,English,It was interesting to see how many different ways you explained the boxes.,width,neg,19
138,2,thin,0.96,regular,dist,English,It was interesting to see how many different ways you explained the boxes.,width,neg,19
139,2,humongous,0.99,regular,coll,English,It was interesting to see how many different ways you explained the boxes.,size,pos,20
140,2,humongous,0.03,regular,dist,English,It was interesting to see how many different ways you explained the boxes.,size,pos,20
141,2,large,0.02,regular,dist,English,It was interesting to see how many different ways you explained the boxes.,size,pos,21
142,2,large,0.97,regular,coll,English,It was interesting to see how many different ways you explained the boxes.,size,pos,21
143,2,low,0.02,regular,coll,English,It was interesting to see how many different ways you explained the boxes.,height,neg,22
144,2,low,0.97,regular,dist,English,It was interesting to see how many different ways you explained the boxes.,height,neg,22
145,2,fat,0.16,regular,coll,English,It was interesting to see how many different ways you explained the boxes.,width,pos,23
146,2,fat,0.16,regular,dist,English,It was interesting to see how many different ways you explained the boxes.,width,pos,23
147,2,skinny,0.97,regular,dist,English,It was interesting to see how many different ways you explained the boxes.,width,neg,24
148,2,skinny,0.98,regular,coll,English,It was interesting to see how many different ways you explained the boxes.,width,neg,24
149,2,little,0.99,regular,dist,English,It was interesting to see how many different ways you explained the boxes.,size,neg,25
150,2,little,0.03,regular,coll,English,It was interesting to see how many different ways you explained the boxes.,size,neg,25
151,3,small,0.07,random,coll,English,thanks and good luck with your research!,size,neg,1
152,3,small,0.95,random,dist,English,thanks and good luck with your research!,size,neg,1
153,3,thin,0.07,random,coll,English,thanks and good luck with your research!,width,neg,2
154,3,thin,0.96,random,dist,English,thanks and good luck with your research!,width,neg,2
155,3,low,0.07,random,dist,English,thanks and good luck with your research!,height,neg,3
156,3,low,0.95,random,coll,English,thanks and good luck with your research!,height,neg,3
157,3,large,0.07,random,coll,English,thanks and good luck with your research!,size,pos,4
158,3,large,0.95,random,dist,English,thanks and good luck with your research!,size,pos,4
159,3,lengthy,0.5,random,coll,English,thanks and good luck with your research!,length,pos,5
160,3,lengthy,0.65,random,dist,English,thanks and good luck with your research!,length,pos,5
161,3,full,0.91,random,dist,English,thanks and good luck with your research!,capacity,pos,6
162,3,full,0.13,random,coll,English,thanks and good luck with your research!,capacity,pos,6
163,3,long,0.53,random,coll,English,thanks and good luck with your research!,length,pos,7
164,3,long,0.8,random,dist,English,thanks and good luck with your research!,length,pos,7
165,3,high,0.88,random,dist,English,thanks and good luck with your research!,height,pos,8
166,3,high,0.61,random,coll,English,thanks and good luck with your research!,height,pos,8
167,3,narrow,0.56,random,coll,English,thanks and good luck with your research!,width,neg,9
168,3,narrow,0.83,random,dist,English,thanks and good luck with your research!,width,neg,9
169,3,humongous,0.69,random,coll,English,thanks and good luck with your research!,size,pos,10
170,3,humongous,0.95,random,dist,English,thanks and good luck with your research!,size,pos,10
171,3,thick,0.3,random,coll,English,thanks and good luck with your research!,width,pos,11
172,3,thick,0.87,random,dist,English,thanks and good luck with your research!,width,pos,11
173,3,flat,0.59,random,coll,English,thanks and good luck with your research!,height,neg,12
174,3,flat,0.93,random,dist,English,thanks and good luck with your research!,height,neg,12
175,3,slight,0.19,random,coll,English,thanks and good luck with your research!,size,neg,13
176,3,slight,0.92,random,dist,English,thanks and good luck with your research!,size,neg,13
177,3,huge,0.43,random,coll,English,thanks and good luck with your research!,size,pos,14
178,3,huge,0.91,random,dist,English,thanks and good luck with your research!,size,pos,14
179,3,wide,0.93,random,dist,English,thanks and good luck with your research!,width,pos,15
180,3,wide,0.68,random,coll,English,thanks and good luck with your research!,width,pos,15
181,3,fat,0.67,random,coll,English,thanks and good luck with your research!,width,pos,16
182,3,fat,0.95,random,dist,English,thanks and good luck with your research!,width,pos,16
183,3,skinny,0.93,random,dist,English,thanks and good luck with your research!,width,neg,17
184,3,skinny,0.64,random,coll,English,thanks and good luck with your research!,width,neg,17
185,3,mini,0.06,random,coll,English,thanks and good luck with your research!,size,neg,18
186,3,mini,0.93,random,dist,English,thanks and good luck with your research!,size,neg,18
187,3,heavy,0.74,random,coll,English,thanks and good luck with your research!,weight,pos,19
188,3,heavy,0.83,random,dist,English,thanks and good luck with your research!,weight,pos,19
189,3,deep,0.52,random,coll,English,thanks and good luck with your research!,depth,pos,20
190,3,deep,0.93,random,dist,English,thanks and good luck with your research!,depth,pos,20
191,3,short,0.73,random,coll,English,thanks and good luck with your research!,height,neg,21
192,3,short,0.91,random,dist,English,thanks and good luck with your research!,height,neg,21
193,3,tiny,0.94,random,dist,English,thanks and good luck with your research!,size,neg,22
194,3,tiny,0.71,random,coll,English,thanks and good luck with your research!,size,neg,22
195,3,tall,0.78,random,coll,English,thanks and good luck with your research!,height,pos,23
196,3,tall,0.96,random,dist,English,thanks and good luck with your research!,height,pos,23
197,3,little,0.95,random,dist,English,thanks and good luck with your research!,size,neg,24
198,3,little,0.66,random,coll,English,thanks and good luck with your research!,size,neg,24
199,3,big,0.72,random,coll,English,thanks and good luck with your research!,size,pos,25
200,3,big,0.95,random,dist,English,thanks and good luck with your research!,size,pos,25
201,4,large,0.88,random,dist,English,,size,pos,1
202,4,large,0.14,random,coll,English,,size,pos,1
203,4,high,0.71,random,dist,English,,height,pos,2
204,4,high,0.5,random,coll,English,,height,pos,2
205,4,little,0.83,random,dist,English,,size,neg,3
206,4,little,0.28,random,coll,English,,size,neg,3
207,4,humongous,0.91,random,coll,English,,size,pos,4
208,4,humongous,0.28,random,dist,English,,size,pos,4
209,4,narrow,0.87,random,coll,English,,width,neg,5
210,4,narrow,0.19,random,dist,English,,width,neg,5
211,4,skinny,0.83,random,coll,English,,width,neg,6
212,4,skinny,0.24,random,dist,English,,width,neg,6
213,4,fat,0.58,random,dist,English,,width,pos,7
214,4,fat,0.54,random,coll,English,,width,pos,7
215,4,huge,0.82,random,dist,English,,size,pos,8
216,4,huge,0.15,random,coll,English,,size,pos,8
217,4,thin,0.84,random,coll,English,,width,neg,9
218,4,thin,0.17,random,dist,English,,width,neg,9
219,4,thick,0.27,random,coll,English,,width,pos,10
220,4,thick,0.79,random,dist,English,,width,pos,10
221,4,long,0.23,random,dist,English,,length,pos,11
222,4,long,0.83,random,coll,English,,length,pos,11
223,4,small,0.24,random,dist,English,,size,neg,12
224,4,small,0.72,random,coll,English,,size,neg,12
225,4,mini,0.67,random,dist,English,,size,neg,13
226,4,mini,0.21,random,coll,English,,size,neg,13
227,4,full,0.9,random,dist,English,,capacity,pos,14
228,4,full,0.54,random,coll,English,,capacity,pos,14
229,4,deep,0.8,random,dist,English,,depth,pos,15
230,4,deep,0.26,random,coll,English,,depth,pos,15
231,4,big,0.82,random,dist,English,,size,pos,16
232,4,big,0.26,random,coll,English,,size,pos,16
233,4,tiny,0.78,random,dist,English,,size,neg,17
234,4,tiny,0.2,random,coll,English,,size,neg,17
235,4,heavy,0.74,random,dist,English,,weight,pos,18
236,4,heavy,0.16,random,coll,English,,weight,pos,18
237,4,wide,0.82,random,dist,English,,width,pos,19
238,4,wide,0.21,random,coll,English,,width,pos,19
239,4,flat,0.84,random,dist,English,,height,neg,20
240,4,flat,0.18,random,coll,English,,height,neg,20
241,4,lengthy,0.78,random,dist,English,,length,pos,21
242,4,lengthy,0.19,random,coll,English,,length,pos,21
243,4,short,0.84,random,dist,English,,height,neg,22
244,4,short,0.21,random,coll,English,,height,neg,22
245,4,low,0.45,random,coll,English,,height,neg,23
246,4,low,0.25,random,dist,English,,height,neg,23
247,4,tall,0.76,random,coll,English,,height,pos,24
248,4,tall,0.15,random,dist,English,,height,pos,24
249,4,slight,0.43,random,dist,English,,size,neg,25
250,4,slight,0.44,random,coll,English,,size,neg,25
251,5,deep,0.71,random,coll,english,,depth,pos,1
252,5,deep,0.66,random,dist,english,,depth,pos,1
253,5,small,0.35,random,coll,english,,size,neg,2
254,5,small,0.6,random,dist,english,,size,neg,2
255,5,big,0.5,random,coll,english,,size,pos,3
256,5,big,0.65,random,dist,english,,size,pos,3
257,5,slight,0.42,random,coll,english,,size,neg,4
258,5,slight,0.38,random,dist,english,,size,neg,4
259,5,thick,0.72,random,dist,english,,width,pos,5
260,5,thick,0.7,random,coll,english,,width,pos,5
261,5,short,0.41,random,coll,english,,height,neg,6
262,5,short,0.52,random,dist,english,,height,neg,6
263,5,wide,0.45,random,coll,english,,width,pos,7
264,5,wide,0.58,random,dist,english,,width,pos,7
265,5,little,0.43,random,coll,english,,size,neg,8
266,5,little,0.65,random,dist,english,,size,neg,8
267,5,tiny,0.35,random,dist,english,,size,neg,9
268,5,tiny,0.78,random,coll,english,,size,neg,9
269,5,full,0.74,random,dist,english,,capacity,pos,10
270,5,full,0.73,random,coll,english,,capacity,pos,10
271,5,tall,0.6,random,coll,english,,height,pos,11
272,5,tall,0.67,random,dist,english,,height,pos,11
273,5,thin,0.48,random,coll,english,,width,neg,12
274,5,thin,0.64,random,dist,english,,width,neg,12
275,5,humongous,0.77,random,coll,english,,size,pos,13
276,5,humongous,0.76,random,dist,english,,size,pos,13
277,5,long,0.74,random,coll,english,,length,pos,14
278,5,long,0.78,random,dist,english,,length,pos,14
279,5,huge,0.49,random,coll,english,,size,pos,15
280,5,huge,0.67,random,dist,english,,size,pos,15
281,5,fat,0.66,random,dist,english,,width,pos,16
282,5,fat,0.68,random,coll,english,,width,pos,16
283,5,skinny,0.48,random,coll,english,,width,neg,17
284,5,skinny,0.5,random,dist,english,,width,neg,17
285,5,high,0.85,random,coll,english,,height,pos,18
286,5,high,0.34,random,dist,english,,height,pos,18
287,5,lengthy,0.65,random,dist,english,,length,pos,19
288,5,lengthy,0.54,random,coll,english,,length,pos,19
289,5,heavy,0.72,random,coll,english,,weight,pos,20
290,5,heavy,0.68,random,dist,english,,weight,pos,20
291,5,narrow,0.34,random,coll,english,,width,neg,21
292,5,narrow,0.7,random,dist,english,,width,neg,21
293,5,mini,0.4,random,dist,english,,size,neg,22
294,5,mini,0.59,random,coll,english,,size,neg,22
295,5,low,0.55,random,dist,english,,height,neg,23
296,5,low,0.51,random,coll,english,,height,neg,23
297,5,large,0.58,random,coll,english,,size,pos,24
298,5,large,0.66,random,dist,english,,size,pos,24
299,5,flat,0.35,random,coll,english,,height,neg,25
300,5,flat,0.53,random,dist,english,,height,neg,25
301,6,thin,0.05,regular,dist,English,"I was confused on how to answer the questions, I thought the one alien was describing how to get the boxes",width,neg,1
302,6,thin,0.06,regular,coll,English,"I was confused on how to answer the questions, I thought the one alien was describing how to get the boxes",width,neg,1
303,6,mini,0.5,regular,dist,English,"I was confused on how to answer the questions, I thought the one alien was describing how to get the boxes",size,neg,2
304,6,mini,0.48,regular,coll,English,"I was confused on how to answer the questions, I thought the one alien was describing how to get the boxes",size,neg,2
305,6,short,0.27,regular,dist,English,"I was confused on how to answer the questions, I thought the one alien was describing how to get the boxes",height,neg,3
306,6,short,0.24,regular,coll,English,"I was confused on how to answer the questions, I thought the one alien was describing how to get the boxes",height,neg,3
307,6,big,0.97,regular,coll,English,"I was confused on how to answer the questions, I thought the one alien was describing how to get the boxes",size,pos,4
308,6,big,0.97,regular,dist,English,"I was confused on how to answer the questions, I thought the one alien was describing how to get the boxes",size,pos,4
309,6,low,0.96,regular,coll,English,"I was confused on how to answer the questions, I thought the one alien was describing how to get the boxes",height,neg,5
310,6,low,0.96,regular,dist,English,"I was confused on how to answer the questions, I thought the one alien was describing how to get the boxes",height,neg,5
311,6,lengthy,0.21,regular,coll,English,"I was confused on how to answer the questions, I thought the one alien was describing how to get the boxes",length,pos,6
312,6,lengthy,0.17,regular,dist,English,"I was confused on how to answer the questions, I thought the one alien was describing how to get the boxes",length,pos,6
313,6,fat,0.51,regular,dist,English,"I was confused on how to answer the questions, I thought the one alien was describing how to get the boxes",width,pos,7
314,6,fat,0.49,regular,coll,English,"I was confused on how to answer the questions, I thought the one alien was describing how to get the boxes",width,pos,7
315,6,wide,0.34,regular,dist,English,"I was confused on how to answer the questions, I thought the one alien was describing how to get the boxes",width,pos,8
316,6,wide,0.35,regular,coll,English,"I was confused on how to answer the questions, I thought the one alien was describing how to get the boxes",width,pos,8
317,6,large,0.95,regular,coll,English,"I was confused on how to answer the questions, I thought the one alien was describing how to get the boxes",size,pos,9
318,6,large,0.9,regular,dist,English,"I was confused on how to answer the questions, I thought the one alien was describing how to get the boxes",size,pos,9
319,6,heavy,0.33,regular,dist,English,"I was confused on how to answer the questions, I thought the one alien was describing how to get the boxes",weight,pos,10
320,6,heavy,0.32,regular,coll,English,"I was confused on how to answer the questions, I thought the one alien was describing how to get the boxes",weight,pos,10
321,6,huge,0.5,regular,coll,English,"I was confused on how to answer the questions, I thought the one alien was describing how to get the boxes",size,pos,11
322,6,huge,0.51,regular,dist,English,"I was confused on how to answer the questions, I thought the one alien was describing how to get the boxes",size,pos,11
323,6,flat,0.12,regular,dist,English,"I was confused on how to answer the questions, I thought the one alien was describing how to get the boxes",height,neg,12
324,6,flat,0.12,regular,coll,English,"I was confused on how to answer the questions, I thought the one alien was describing how to get the boxes",height,neg,12
325,6,little,0.26,regular,dist,English,"I was confused on how to answer the questions, I thought the one alien was describing how to get the boxes",size,neg,13
326,6,little,0.28,regular,coll,English,"I was confused on how to answer the questions, I thought the one alien was describing how to get the boxes",size,neg,13
327,6,tiny,0.1,regular,coll,English,"I was confused on how to answer the questions, I thought the one alien was describing how to get the boxes",size,neg,14
328,6,tiny,0.11,regular,dist,English,"I was confused on how to answer the questions, I thought the one alien was describing how to get the boxes",size,neg,14
329,6,small,0.19,regular,coll,English,"I was confused on how to answer the questions, I thought the one alien was describing how to get the boxes",size,neg,15
330,6,small,0.19,regular,dist,English,"I was confused on how to answer the questions, I thought the one alien was describing how to get the boxes",size,neg,15
331,6,high,0.24,regular,coll,English,"I was confused on how to answer the questions, I thought the one alien was describing how to get the boxes",height,pos,16
332,6,high,0.25,regular,dist,English,"I was confused on how to answer the questions, I thought the one alien was describing how to get the boxes",height,pos,16
333,6,tall,0.39,regular,dist,English,"I was confused on how to answer the questions, I thought the one alien was describing how to get the boxes",height,pos,17
334,6,tall,0.37,regular,coll,English,"I was confused on how to answer the questions, I thought the one alien was describing how to get the boxes",height,pos,17
335,6,slight,0.02,regular,coll,English,"I was confused on how to answer the questions, I thought the one alien was describing how to get the boxes",size,neg,18
336,6,slight,0.04,regular,dist,English,"I was confused on how to answer the questions, I thought the one alien was describing how to get the boxes",size,neg,18
337,6,narrow,0.26,regular,dist,English,"I was confused on how to answer the questions, I thought the one alien was describing how to get the boxes",width,neg,19
338,6,narrow,0.28,regular,coll,English,"I was confused on how to answer the questions, I thought the one alien was describing how to get the boxes",width,neg,19
339,6,skinny,0.18,regular,dist,English,"I was confused on how to answer the questions, I thought the one alien was describing how to get the boxes",width,neg,20
340,6,skinny,0.18,regular,coll,English,"I was confused on how to answer the questions, I thought the one alien was describing how to get the boxes",width,neg,20
341,6,humongous,0.02,regular,dist,English,"I was confused on how to answer the questions, I thought the one alien was describing how to get the boxes",size,pos,21
342,6,humongous,0.01,regular,coll,English,"I was confused on how to answer the questions, I thought the one alien was describing how to get the boxes",size,pos,21
343,6,full,0.51,regular,dist,English,"I was confused on how to answer the questions, I thought the one alien was describing how to get the boxes",capacity,pos,22
344,6,full,0.55,regular,coll,English,"I was confused on how to answer the questions, I thought the one alien was describing how to get the boxes",capacity,pos,22
345,6,deep,0.29,regular,coll,English,"I was confused on how to answer the questions, I thought the one alien was describing how to get the boxes",depth,pos,23
346,6,deep,0.27,regular,dist,English,"I was confused on how to answer the questions, I thought the one alien was describing how to get the boxes",depth,pos,23
347,6,thick,0.17,regular,coll,English,"I was confused on how to answer the questions, I thought the one alien was describing how to get the boxes",width,pos,24
348,6,thick,0.19,regular,dist,English,"I was confused on how to answer the questions, I thought the one alien was describing how to get the boxes",width,pos,24
349,6,long,0.32,regular,coll,English,"I was confused on how to answer the questions, I thought the one alien was describing how to get the boxes",length,pos,25
350,6,long,0.33,regular,dist,English,"I was confused on how to answer the questions, I thought the one alien was describing how to get the boxes",length,pos,25
401,8,skinny,0.57,regular,dist,English,,width,neg,1
402,8,skinny,0.49,regular,coll,English,,width,neg,1
403,8,fat,0.76,regular,dist,English,,width,pos,2
404,8,fat,0.35,regular,coll,English,,width,pos,2
405,8,long,0.69,regular,dist,English,,length,pos,3
406,8,long,0.96,regular,coll,English,,length,pos,3
407,8,thick,0.85,regular,coll,English,,width,pos,4
408,8,thick,0.7,regular,dist,English,,width,pos,4
409,8,little,0.65,regular,dist,English,,size,neg,5
410,8,little,0.11,regular,coll,English,,size,neg,5
411,8,thin,0.76,regular,dist,English,,width,neg,6
412,8,thin,0.55,regular,coll,English,,width,neg,6
413,8,huge,0.74,regular,coll,English,,size,pos,7
414,8,huge,1,regular,dist,English,,size,pos,7
415,8,flat,0.78,regular,coll,English,,height,neg,8
416,8,flat,0.59,regular,dist,English,,height,neg,8
417,8,slight,0.49,regular,dist,English,,size,neg,9
418,8,slight,0.4,regular,coll,English,,size,neg,9
419,8,tall,0.62,regular,dist,English,,height,pos,10
420,8,tall,0.9,regular,coll,English,,height,pos,10
421,8,lengthy,0.91,regular,coll,English,,length,pos,11
422,8,lengthy,0.77,regular,dist,English,,length,pos,11
423,8,small,0.43,regular,coll,English,,size,neg,12
424,8,small,0.94,regular,dist,English,,size,neg,12
425,8,full,0.85,regular,coll,English,,capacity,pos,13
426,8,full,0.59,regular,dist,English,,capacity,pos,13
427,8,wide,0.89,regular,dist,English,,width,pos,14
428,8,wide,0.89,regular,coll,English,,width,pos,14
429,8,heavy,0.94,regular,dist,English,,weight,pos,15
430,8,heavy,0.84,regular,coll,English,,weight,pos,15
431,8,tiny,0.9,regular,dist,English,,size,neg,16
432,8,tiny,0.33,regular,coll,English,,size,neg,16
433,8,deep,0.89,regular,coll,English,,depth,pos,17
434,8,deep,0.74,regular,dist,English,,depth,pos,17
435,8,short,0.62,regular,coll,English,,height,neg,18
436,8,short,0.78,regular,dist,English,,height,neg,18
437,8,humongous,0.59,regular,dist,English,,size,pos,19
438,8,humongous,0.92,regular,coll,English,,size,pos,19
439,8,high,0.93,regular,coll,English,,height,pos,20
440,8,high,0.5,regular,dist,English,,height,pos,20
441,8,big,0.94,regular,dist,English,,size,pos,21
442,8,big,0.9,regular,coll,English,,size,pos,21
443,8,low,0.91,regular,dist,English,,height,neg,22
444,8,low,0.35,regular,coll,English,,height,neg,22
445,8,mini,0.38,regular,coll,English,,size,neg,23
446,8,mini,0.84,regular,dist,English,,size,neg,23
447,8,large,0.67,regular,dist,English,,size,pos,24
448,8,large,0.83,regular,coll,English,,size,pos,24
449,8,narrow,0.51,regular,coll,English,,width,neg,25
450,8,narrow,0.65,regular,dist,English,,width,neg,25
451,9,narrow,0.79,regular,dist,English,,width,neg,1
452,9,narrow,0.81,regular,coll,English,,width,neg,1
453,9,large,0.24,regular,coll,English,,size,pos,2
454,9,large,0.59,regular,dist,English,,size,pos,2
455,9,big,0.4,regular,dist,English,,size,pos,3
456,9,big,0.76,regular,coll,English,,size,pos,3
457,9,fat,0.22,regular,dist,English,,width,pos,4
458,9,fat,0.85,regular,coll,English,,width,pos,4
459,9,long,0.7,regular,dist,English,,length,pos,5
460,9,long,0.55,regular,coll,English,,length,pos,5
461,9,deep,0.31,regular,dist,English,,depth,pos,6
462,9,deep,0.6,regular,coll,English,,depth,pos,6
