workerid,predicate,utterance,response,context,sentence_type
0,long,long,0.24,regular,coll
0,long,long,0.89,regular,dist
1,long,long,0,regular,coll
1,long,long,1,regular,dist
2,long,long,0.12,regular,dist
2,long,long,0.8,regular,coll
3,square,square,1,regular,dist
3,square,square,0,regular,coll
4,tall,tall,0.01,regular,dist
4,tall,tall,1,regular,coll
5,tall,tall,0.48,regular,coll
5,tall,tall,0.55,regular,dist
6,long,long,0.69,random,dist
6,long,long,0.56,random,coll
7,tall,tall,0.87,random,coll
7,tall,tall,0.08,random,dist
8,tall,tall,0.49,random,coll
8,tall,tall,0.22,random,dist
